ano_eleicao,fonte,linhas,pesquisas_unicas,institutos,amostra_missing,amostra_imputada,valor_fora_0_100,primeira_publicacao,ultima_publicacao
1994,https://media.folha.uol.com.br/datafolha/2022/09/01/intencao_de_voto_e_rejeicao_para_presidente_94.pdf,60,15,1,0,60,0,1994-04-05,1994-10-01
1994,https://www1.folha.uol.com.br/fsp/1994/5/27/brasil/24.html,5,1,1,0,0,0,1994-05-27,1994-05-27
1994,https://www1.folha.uol.com.br/fsp/1994/8/23/caderno_especial/1.html,6,1,1,0,0,0,1994-08-23,1994-08-23
1998,https://media.folha.uol.com.br/datafolha/2022/12/28/brasil-1998-1t.pdf,32,8,1,0,32,0,1998-03-11,1998-10-02
1998,https://www.folhadelondrina.com.br/politica/fernando-henrique-cai-dois-pontos-na-pesquisa-do-ibope-89559.html,4,1,1,0,0,0,1998-07-30,1998-07-30
1998,https://www.folhadelondrina.com.br/politica/fhc-sobe-2-pontos-no-ibope-e-tem-49-lula-cai-para-22-98037.html,5,1,1,0,0,0,1998-09-16,1998-09-16
1998,https://www.folhadelondrina.com.br/politica/pesquisa-do-ibope-indica-possibilidade-de-2-turno-78284.html,4,1,1,0,0,0,1998-05-27,1998-05-27
1998,https://www1.folha.uol.com.br/fol/pol/po0506981.htm,4,1,1,0,0,0,1998-06-05,1998-06-05
1998,https://www1.folha.uol.com.br/fsp/brasil/fc12079807.htm,4,1,1,0,4,0,1998-07-12,1998-07-12
1998,https://www1.folha.uol.com.br/fsp/brasil/fc18089803.htm,5,1,1,0,0,0,1998-08-18,1998-08-18
2002,https://www.cesop.unicamp.br/vw/1I8v7SqswNQ_MDA_aef91_,6,1,1,0,0,0,2002-09-09,2002-09-09
2002,https://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/pres.shl,367,129,6,0,367,0,2002-01-04,2002-10-05
2006,Wikipedia pt 2006 wikitext: pesquisa de primeiro turno,14,3,2,0,0,0,2006-09-08,2006-09-30
2006,https://www1.folha.uol.com.br/fsp/brasil/fc0209200606.htm,5,1,1,0,0,0,2006-09-02,2006-09-02
2006,https://www1.folha.uol.com.br/fsp/brasil/fc0609200602.htm,5,1,1,0,5,0,2006-09-06,2006-09-06
2006,https://www1.folha.uol.com.br/fsp/brasil/fc2009200641.htm,4,1,1,0,0,0,2006-09-20,2006-09-20
2006,https://www1.folha.uol.com.br/fsp/brasil/fc2809200602.htm,4,1,1,0,0,0,2006-09-28,2006-09-28
2010,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2010_Brazilian_presidential_election,170,85,11,0,170,0,2008-11-28,2010-10-02
2014,https://en.wikipedia.org/wiki/2014_Brazilian_general_election,54,27,7,0,0,0,2014-02-15,2014-10-05
2018,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2018_Brazilian_presidential_election,170,34,13,0,0,0,2018-09-02,2018-10-05
2022,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,474,137,31,0,0,0,2022-01-09,2022-10-01
2026,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,349,76,14,0,0,0,2025-02-27,2026-09-10
2026,https://noticias.uol.com.br/eleicoes/2026/08/31/pesquisa-atlasintel---31-de-agosto.ghtm,10,1,1,0,0,0,2026-08-31,2026-08-31
2026,https://noticias.uol.com.br/eleicoes/2026/08/31/pesquisa-eleitoral-presidencial-veja-quem-esta-na-frente-dos-ultimos-levantamentos.ghtm,38,3,2,0,0,0,2026-08-27,2026-08-31
2026,https://noticias.uol.com.br/eleicoes/2026/09/07/quaest-presidencial-7-de-setembro.ghtm,7,1,1,0,0,0,2026-09-07,2026-09-07
2026,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,18,2,2,0,0,0,2026-09-03,2026-09-08
2026,https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm,65,7,6,0,0,0,2026-09-07,2026-09-10
2026,https://noticias.uol.com.br/eleicoes/2026/09/15/pesquisa-cntmda-lula-flavio-bolsonaro.ghtm,5,1,1,0,0,0,2026-09-15,2026-09-15
2026,https://noticias.uol.com.br/eleicoes/2026/09/16/caiado-na-pesquisa-eleitoral-veja-ultimos-levantamentos.ghtm,13,2,2,0,0,0,2026-09-14,2026-09-14
2026,https://noticias.uol.com.br/eleicoes/2026/09/24/lula-x-flavio-bolsonaro-nas-pesquisas-veja-os-numeros-mais-recentes-atualizados.ghtm,20,3,3,0,0,0,2026-09-21,2026-09-24
2026,https://noticias.uol.com.br/eleicoes/2026/09/24/realtime-big-data-lula-empata-com-flavio-caiado-e-cury-no-2-turno.ghtm,6,1,1,0,0,0,2026-09-24,2026-09-24
