instituto,candidato,linhas,vies_medio,mae
Exame/Ideia,Simone Tebet,3,-0.41329999999999983,0.41329999999999983
PoderData,Simone Tebet,8,-0.001574999999999771,0.4421749999999999
XP/Ipespe,Simone Tebet,3,-0.46516666666666645,0.46516666666666645
Datafolha,Cristovam Buarque,4,0.7152500000000002,0.7152500000000002
Genial/Quaest,Simone Tebet,4,-0.8250249999999999,0.8250249999999999
Genial/Quaest,Lula,4,-0.3152500000000007,0.9739500000000003
Ipec,Simone Tebet,3,-0.6325333333333334,1.107
Ibope,João Amoêdo,6,-1.1139833333333333,1.1139833333333333
Abrapel/Ipespe,Simone Tebet,5,-1.12704,1.12704
Datafolha,João Amoêdo,5,-1.12842,1.12842
Atlas,Ciro Gomes,4,-1.370725,1.370725
Atlas,Simone Tebet,4,1.4063,1.4063
Datafolha,Simone Tebet,8,-0.4936749999999998,1.4807499999999998
Atlas,Lula,4,-1.07315,1.485899999999999
Abrapel/Ipespe,Lula,5,0.7367599999999982,1.584559999999999
BTG/FSB,Simone Tebet,6,-0.6891166666666665,1.6228166666666664
XP/Ipespe,João Amoêdo,5,-1.8188,1.8188
BTG/FSB,Lula,10,1.3500200000000007,1.9599000000000004
Paraná Pesquisas,Simone Tebet,4,2.0124750000000002,2.0124750000000002
FSB Pesquisa,João Amoêdo,5,-2.179,2.179
Ibope,Enéas Carneiro,3,-2.3437666666666663,2.3437666666666663
Atlas,Jair Bolsonaro,4,2.418675000000002,2.418675000000002
Datafolha,Heloísa Helena,4,-2.5179500000000004,2.5179500000000004
GPP,Anthony Garotinho,9,1.3650666666666662,2.633977777777778
Datafolha,Anthony Garotinho,30,1.945149999999999,2.842576666666666
Datafolha,Enéas Carneiro,11,-2.487054545454545,2.931
FSB Pesquisa,Ciro Gomes,5,-1.698899999999999,2.9862599999999992
Datafolha,Orestes Quércia,17,-2.9879411764705885,2.9879411764705885
Ipec,Lula,3,-3.035666666666669,3.035666666666669
XP/Ipespe,Lula,17,1.9530764705882349,3.0399588235294117
Quaest/Genial,Lula,6,-3.0960500000000017,3.0960500000000017
CNT/Sensus,Anthony Garotinho,26,-0.18664230769230825,3.097096153846153
CNT/MDA,Ciro Gomes,7,-2.8418428571428573,3.1233000000000004
GPP,Ciro Gomes,9,-2.7553111111111104,3.392888888888889
Ibope,Anthony Garotinho,31,3.0952806451612895,3.438106451612902
PoderData,Lula,22,3.537786363636364,3.537786363636364
PoderData,Ciro Gomes,22,-3.752659090909091,3.752659090909091
Paraná Pesquisas,Lula,9,3.8213444444444438,3.8213444444444438
Datafolha,Leonel Brizola,17,-3.8543470588235293,3.8543470588235293
Modalmais/Futura,Jair Bolsonaro,5,3.854880000000004,3.854880000000004
Modalmais/Futura,Ciro Gomes,5,-3.91192,3.91192
Quaest/Genial,Ciro Gomes,6,-4.000233333333333,4.000233333333333
Vox Populi,Anthony Garotinho,15,4.067626666666666,4.067626666666666
Datafolha,Ciro Gomes,66,-3.2385954545454543,4.087125757575757
Genial/Quaest,Ciro Gomes,4,-4.1644,4.1644
Ipec,Ciro Gomes,3,-4.38,4.38
Ibope,Ciro Gomes,40,-2.1669424999999993,4.5232125
Abrapel/Ipespe,Ciro Gomes,5,-4.78966,4.78966
Paraná Pesquisas,Jair Bolsonaro,9,5.021088888888892,5.021088888888892
Paraná Pesquisas,Ciro Gomes,9,-5.184377777777778,5.184377777777778
XP/Ipespe,Ciro Gomes,23,-5.240091304347826,5.240091304347826
FSB Pesquisa,Geraldo Alckmin,5,-5.335140000000001,5.335140000000001
CNT/MDA,Lula,5,5.345360000000001,5.377040000000001
XP/Ipespe,Geraldo Alckmin,5,-5.38022,5.38022
CNT/Sensus,Ciro Gomes,26,-3.454073076923076,5.385496153846153
Datafolha,José Serra,17,-4.111729411764706,5.429776470588235
Vox Populi,José Serra,37,2.2153675675675673,5.465308108108108
CNT/MDA,Jair Bolsonaro,7,5.538085714285716,5.538085714285716
Modalmais/Futura,Lula,5,5.569819999999998,5.569819999999998
Vox Populi,Ciro Gomes,20,-4.498885,5.745505
Genial/Quaest,Jair Bolsonaro,4,5.7984250000000035,5.7984250000000035
BTG/FSB,Ciro Gomes,10,-5.98209,5.98209
Exame/Ideia,Ciro Gomes,12,-6.153116666666667,6.153116666666667
Ibope,Dilma Rousseff,21,-3.6440714285714284,6.277109523809524
Abrapel/Ipespe,Jair Bolsonaro,5,6.316920000000001,6.316920000000001
Ibope,José Serra,11,-4.807372727272727,6.356754545454544
Toledo/IstoÉ,Anthony Garotinho,4,6.376474999999999,6.376474999999999
Ibope,Geraldo Alckmin,7,-3.176528571428572,6.570271428571429
BTG/FSB,Jair Bolsonaro,10,6.686430000000001,6.686430000000001
Datafolha,Geraldo Alckmin,9,-0.3271888888888888,7.024922222222222
Datafolha,Lula,81,1.3433827160493814,7.0595012345679
PoderData,Jair Bolsonaro,22,7.11891363636364,7.11891363636364
Toledo/IstoÉ,Lula,4,7.165424999999997,7.165424999999997
Datafolha,Dilma Rousseff,25,-0.7540080000000016,7.253984
CNT/Sensus,José Serra,9,-6.320611111111112,7.259833333333333
Exame/Ideia,Lula,12,7.828916666666667,7.916966666666667
Toledo/IstoÉ,Ciro Gomes,4,-7.221874999999999,8.127525
Vox Populi,Lula,20,8.050964999999998,8.336694999999997
Ipec,Jair Bolsonaro,3,8.35226666666667,8.35226666666667
FSB Pesquisa,Jair Bolsonaro,5,8.424240000000001,8.424240000000001
Exame/Ideia,Jair Bolsonaro,12,8.779533333333337,8.779533333333337
CNT/Sensus,Lula,27,8.181118518518517,8.898903703703702
Ibope,Aécio Neves,10,9.058399999999997,9.058399999999997
GPP,Lula,9,9.08771111111111,9.08771111111111
Ibope,Fernando Haddad,6,9.124166666666667,9.124166666666667
Datafolha,Fernando Henrique Cardoso,27,8.705192592592594,9.481637037037038
Datafolha,Fernando Haddad,5,9.902940000000001,9.902940000000001
XP/Ipespe,Jair Bolsonaro,23,10.195839130434786,10.195839130434786
XP/Ipespe,Fernando Haddad,5,10.27474,10.27474
Ibope[link removed],José Serra,4,-9.3005,10.6055
Vox Populi,Aécio Neves,4,10.754099999999998,10.754099999999998
