data_previsao,ano_eleicao,cenario,candidato,voto_valido_estimado,probabilidade_liderar,probabilidade_ir_ao_segundo_turno,fonte_dados_ate,modelo
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Lula,43.8682,0.6786,1.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Flávio Bolsonaro,40.4401,0.3214,1.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Renan Santos,5.2262,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Augusto Cury,4.9544,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Ronaldo Caiado,2.7475,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Romeu Zema,1.1651,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Samara Martins,1.0397,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Rui Costa Pimenta,0.5001,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Clariana Barão,0.1631,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Edmilson Costa,0.1631,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Wilson Grassi,0.035,0.0,0.0,2026-09-24,ensemble_disciplinado
2026-09-24,2026,Primeiro turno 2026 - agosto/setembro com Renan,Hertz Dias,0.0117,0.0,0.0,2026-09-24,ensemble_disciplinado
