data_previsao,ano_eleicao,cenario,candidato,voto_valido_estimado,probabilidade_liderar,probabilidade_ir_ao_segundo_turno,fonte_dados_ate,modelo,data_registro
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,Augusto Cury,7.1969,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,Flávio Bolsonaro,37.4201,0.2603,1.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,Lula,42.2348,0.7397,1.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,Romeu Zema,1.6166,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,Ronaldo Caiado,3.4056,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,Augusto Cury,2.1613,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,Flávio Bolsonaro,37.2171,0.1552,1.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,Lula,45.8806,0.8448,1.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,Romeu Zema,2.8341,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,Ronaldo Caiado,5.089,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,Augusto Cury,7.3085,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,Clariana Barão,0.8897,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,Edmilson Costa,0.8897,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,Flávio Bolsonaro,38.05,0.2617,1.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,Hertz Dias,0.08,0.0,0.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,Lula,42.036,0.7383,1.0,2026-09-11,ensemble_disciplinado,2026-09-12T22:07:19
