data_previsao,ano_eleicao,cenario,modelo,candidato,voto_valido_estimado,intervalo_baixo,intervalo_alto,probabilidade_liderar,probabilidade_ir_ao_segundo_turno,fonte_dados_ate,observacao
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_pesquisa,Lula,42.1418,31.8796,52.404,0.7496,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_pesquisa,Flávio Bolsonaro,37.1205,26.8583,47.3827,0.2504,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_pesquisa,Augusto Cury,7.5213,0.0,17.7835,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_pesquisa,Ronaldo Caiado,3.4449,0.0,13.7071,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_pesquisa,Romeu Zema,1.7039,0.0,11.9661,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_ajustado,Lula,42.6406,32.0137,53.2675,0.737,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_ajustado,Flávio Bolsonaro,37.7181,27.0912,48.345,0.263,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_ajustado,Augusto Cury,8.1611,0.0,18.788,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_ajustado,Ronaldo Caiado,4.0136,0.0,14.6405,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_ajustado,Romeu Zema,2.2831,0.0,12.91,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_efeito_casa,Lula,43.4645,32.7695,54.1595,0.7714,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_efeito_casa,Flávio Bolsonaro,37.7181,27.0231,48.4131,0.2286,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_efeito_casa,Augusto Cury,8.1611,0.0,18.8561,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_efeito_casa,Ronaldo Caiado,4.0136,0.0,14.7086,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_efeito_casa,Romeu Zema,2.2831,0.0,12.9781,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_pesquisa,Lula,45.6308,35.3686,55.893,0.8874,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_pesquisa,Flávio Bolsonaro,36.7907,26.5285,47.0529,0.1126,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_pesquisa,Ronaldo Caiado,5.272,0.0,15.5342,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_pesquisa,Romeu Zema,3.177,0.0,13.4392,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_pesquisa,Augusto Cury,1.9204,0.0,12.1826,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_ajustado,Lula,46.1359,35.509,56.7628,0.877,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_ajustado,Flávio Bolsonaro,37.438,26.8111,48.0649,0.123,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_ajustado,Ronaldo Caiado,5.8235,0.0,16.4504,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_ajustado,Romeu Zema,3.7891,0.0,14.416,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_ajustado,Augusto Cury,2.6,0.0,13.2269,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_efeito_casa,Lula,46.7254,36.0304,57.4204,0.889,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_efeito_casa,Flávio Bolsonaro,37.438,26.743,48.133,0.111,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_efeito_casa,Ronaldo Caiado,5.8235,0.0,16.5185,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_efeito_casa,Romeu Zema,3.7891,0.0,14.4841,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_efeito_casa,Augusto Cury,2.6,0.0,13.295,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Lula,41.8982,31.636,52.1604,0.7366,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Flávio Bolsonaro,37.3221,27.0599,47.5843,0.2634,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Augusto Cury,8.0391,0.0,18.3013,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Renan Santos,5.3069,0.0,15.5691,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Ronaldo Caiado,3.4957,0.0,13.7579,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
