instituto,linhas,vies_medio,mae
Atlas,16,0.34527500000000055,1.6704000000000003
Arko/Atlas,4,0.13680000000000114,2.0280500000000012
BTG Pactual/FSB,4,0.5053999999999996,2.756449999999999
IstoÉ/Sensus,5,0.8894200000000007,2.7888999999999995
Genial/Quaest,16,0.12343750000000075,2.940450000000001
Instituto Veritá 2018-10-07 at the Wayback Machine,5,0.2919400000000002,2.97594
Ibope (exit poll),2,0.5700000000000003,2.979999999999997
Paraná Pesquisas/Crusoé 2018-10-06 at the Wayback Machine,5,1.0478600000000007,3.067660000000001
Revista Fórum/Offerwise,2,-1.58,3.08
IPEC,8,0.12340000000000106,3.3768249999999997
FSB Comunicação,8,0.6769125000000016,3.417887500000001
Abrapel/Ipespe,20,0.2842450000000001,3.4545450000000004
CNT/MDA 2018-09-30 at the Wayback Machine,5,0.9830000000000005,3.617
Quaest,4,0.26927499999999993,3.7477750000000007
Globo/Ipec,8,0.2661750000000005,4.014850000000001
CNT/MDA,29,1.9863241379310352,4.159324137931035
Ipec,12,0.07601666666666695,4.218733333333335
Datafolha 2010-08-20 at the Wayback Machine,2,-4.287600000000001,4.287600000000001
PoderData,74,2.0523824324324336,4.331666216216217
Paraná Pesquisas,31,1.3216903225806458,4.331974193548387
BTG/FSB,36,0.45580277777777856,4.333919444444445
Modalmais/Futura,15,1.8375933333333343,4.44554
CNI/Ibope 2012-02-24 at the Wayback Machine,2,-4.882850000000001,4.882850000000001
IBOPE,8,0.21771249999999978,4.9915625000000015
GPP,27,2.5658222222222213,5.038192592592592
DataPoder360,10,2.9903500000000003,5.204230000000001
Ranking Brasil,3,2.5436333333333345,5.358700000000002
RealTime Big Data,10,2.399090000000001,5.458610000000001
Quaest/Genial,20,1.3855650000000002,5.643335000000001
Datafolha,354,0.7731223163841806,5.75848615819209
Genial Investimentos/Brasilis 2018-09-21 at the Wayback Machine,5,2.9104200000000007,5.860100000000001
Instituto GERP,6,4.351600000000001,5.928633333333334
FSB Pesquisa,25,2.033572000000001,5.976260000000001
Paraná Pesquisas/Crusoé,10,2.57684,6.07866
XP/Ipespe,81,1.989723456790124,6.116913580246914
CNT/Sensus,97,1.0157577319587618,6.4298257731958754
Ibope,168,2.291211309523809,6.551769642857142
Ipespe,3,3.717866666666668,6.819400000000002
Instituto Mapa,3,5.121200000000001,6.948066666666668
Exame/Ideia,39,3.185233333333334,7.062443589743591
Toledo/IstoÉ,12,2.106674999999999,7.223141666666666
FSB,3,3.1356000000000024,7.424733333333335
Veja/FSB,3,-7.622299999999998,7.967033333333336
Vox Populi,138,-0.9838007246376828,8.146561594202899
Vox Populi 2010-09-29 at the Wayback Machine,2,-0.865000000000002,9.024999999999999
CNN Brasil/Real Time Big Data,6,4.078650000000002,9.029650000000002
CNI/Ibope,2,6.5355000000000025,9.773099999999996
Instituto Ipec,3,1.2884666666666662,9.887000000000002
Datatempo,3,5.993366666666669,10.027300000000002
Ibope[link removed],8,-0.897800000000001,11.526125
Vox Populi 2014-10-11 at the Wayback Machine,2,-7.045350000000001,14.441549999999998
Datafolha[link removed],2,2.7229499999999973,15.79195
Ibope[permanent dead link],2,2.4266499999999986,20.483349999999998
24 Sep,4,-5.1626,21.1075
Datafolha 2009-12-23 at the Wayback Machine,6,7.059566666666666,25.082466666666665
