"instituto","data_publicacao","cenario","registro_tse","fonte_dados","fonte_auditoria","status_auditoria","observacao_auditoria"
"AtlasIntel","2026-08-31","agosto_setembro_2026_com_marcal","BR-07972/2026","https://noticias.uol.com.br/eleicoes/2026/08/31/pesquisa-atlasintel---31-de-agosto.ghtm","https://www.poder360.com.br/poder-eleicoes-2026/lula-tem-471-contra-426-de-flavio-no-2o-turno-diz-pesquisa/","registro_e_metodologia_confirmados","Poder360 confirma campo amostra margem registro e numeros de primeiro turno; fonte primaria direta da Atlas ainda nao anexada"
"AtlasIntel/Bloomberg","2026-09-10","agosto_setembro_2026_com_marcal","BR-01452/2026","https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm","https://atlasintel.org/poll/brazil-national-2026-09-10","fonte_primaria_confirmada","AtlasIntel confirma pesquisa nacional campo amostra margem e link de download; UOL/Poder360 usados para conferencia do registro e numeros"
"BTG/Nexus","2026-08-31","agosto_setembro_2026_com_marcal","BR-08900/2026","https://noticias.uol.com.br/eleicoes/2026/08/31/pesquisa-eleitoral-presidencial-veja-quem-esta-na-frente-dos-ultimos-levantamentos.ghtm","https://www.nexus.fsb.com.br/estudos-divulgados/pesquisa-btg-nexus-de-intencao-de-votos-para-presidente-do-brasil-31-de-agosto-de-2026/","fonte_primaria_confirmada","Nexus confirma rodada campo amostra metodo margem e registro"
"BTG/Nexus","2026-08-31","agosto_setembro_2026_sem_marcal","BR-08900/2026","https://noticias.uol.com.br/eleicoes/2026/08/31/pesquisa-eleitoral-presidencial-veja-quem-esta-na-frente-dos-ultimos-levantamentos.ghtm","https://www.nexus.fsb.com.br/estudos-divulgados/pesquisa-btg-nexus-de-intencao-de-votos-para-presidente-do-brasil-31-de-agosto-de-2026/","fonte_primaria_confirmada","Nexus confirma rodada campo amostra metodo margem e registro"
"BTG/Nexus","2026-09-08","agosto_setembro_2026_com_marcal","BR-06790/2026","https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm","https://www.nexus.fsb.com.br/estudos-divulgados/pesquisa-btg-nexus-de-intencao-de-votos-para-presidente-do-brasil-8-de-setembro-de-2026/","fonte_primaria_confirmada","Nexus confirma rodada campo amostra metodo margem e registro"
"BTG/Nexus","2026-09-08","agosto_setembro_2026_sem_marcal","BR-06790/2026","https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm","https://www.nexus.fsb.com.br/estudos-divulgados/pesquisa-btg-nexus-de-intencao-de-votos-para-presidente-do-brasil-8-de-setembro-de-2026/","fonte_primaria_confirmada","Nexus confirma rodada campo amostra metodo margem e registro"
"Datafolha","2026-09-03","agosto_setembro_2026_sem_marcal","BR-03669/2026","https://www1.folha.uol.com.br/poder/2026/09/datafolha-mais-eleitores-viram-conteudo-eleitoral-em-perfis-jornalisticos-nas-redes-sociais.shtml","https://www1.folha.uol.com.br/poder/2026/09/datafolha-mais-eleitores-viram-conteudo-eleitoral-em-perfis-jornalisticos-nas-redes-sociais.shtml","registro_e_metodologia_confirmados","Folha/Datafolha confirma campo amostra cidades e registro"
"Datafolha","2026-09-11","agosto_setembro_2026_sem_marcal","BR-01833/2026","https://www1.folha.uol.com.br/poder/2026/09/datafolha-lula-tem-39-e-flavio-bolsonaro-35-em-primeiro-turno.shtml","https://www1.folha.uol.com.br/poder/2026/09/datafolha-lula-tem-39-e-flavio-bolsonaro-35-em-primeiro-turno.shtml","registro_e_metodologia_confirmados","Folha/Datafolha confirma campo amostra cidades margem e registro"
"Futura/Apex","2026-09-03","agosto_setembro_2026_sem_marcal","BR-02793/2026","https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm","https://www.placardaspesquisas.com.br/institutos/futura","registro_em_agregador_publico","Placar das Pesquisas lista rodada de 01/09 com amostra 2000 e registro BR-02793/2026; ainda falta relatorio primario Futura/Apex"
"Meio/Ideia","2026-09-09","agosto_setembro_2026_com_marcal","BR-07935/2026","https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm","https://www.cnnbrasil.com.br/eleicoes/meio-ideia-lula-tem-384-no-1o-turno-flavio-373/","registro_e_metodologia_confirmados_secundaria","CNN/Poder360/Exame confirmam campo amostra telefone margem e registro; ainda nao ha relatorio oficial Meio/Ideia localizado"
"Palver","2026-09-09","agosto_setembro_2026_com_marcal","BR-05420/2026","https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm","https://github.com/palverdata/pesquisa-palver/blob/main/README.md","fonte_primaria_confirmada","Repositorio oficial Palver lista onda 2 divulgada em 09/09 com registro campo relatorio e press release; pagina Palver Survey publica relatorios"
