ano_eleicao,candidato,nome_urna,partido,vice,status_tse,usar_previsao_principal,fonte,observacao
2026,Lula,LULA,PT,Geraldo Alckmin,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Flávio Bolsonaro,FLAVIO BOLSONARO,PL,Alfredo Gaspar,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Ronaldo Caiado,RONALDO CAIADO,PSD,Gilberto Kassab,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Rui Costa Pimenta,RUI COSTA PIMENTA,PCO,Antônio Carlos,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Samara Martins,SAMARA,UP,Raquel Brício,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Romeu Zema,ZEMA,Novo,Eduardo Girão,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Hertz Dias,HERTZ DIAS,PSTU,Vanessa Portugal,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Edmilson Costa,EDMILSON COSTA,PCB,Cleusa Santos,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Renan Santos,RENAN SANTOS,Missão,Aroldo Medina,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Wilson Grassi,VETERINÁRIO WILSON GRASSI,Democrata,Suêd Haidar,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Clariana Barão,CLARIANA BARAO,DC,Fabiana Torquato,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Augusto Cury,ESCRITOR AUGUSTO CURY,Avante,Júlio Delgado,aprovado,1,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Chapa validada pelo TSE
2026,Pablo Marçal,PABLO MARÇAL,PRTB,Leonardo Avalanche,indeferido,0,https://www.tse.jus.br/comunicacao/noticias/2026/Setembro/eleicoes-2026-tem-12-candidaturas-na-disputa-pela-presidencia-da-republica,Registro negado pelo TSE; fora do cenário operacional
