ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte,amostra_imputada,qualidade_fonte,cenario_tipo
1994,1,Datafolha,1994-05-23,1994-05-24,1994-05-27,3912,folha_datafolha_1994_05_24,Lula,40,0,24,https://www1.folha.uol.com.br/fsp/1994/5/27/brasil/24.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-05-23,1994-05-24,1994-05-27,3912,folha_datafolha_1994_05_24,Fernando Henrique Cardoso,17,0,24,https://www1.folha.uol.com.br/fsp/1994/5/27/brasil/24.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-05-23,1994-05-24,1994-05-27,3912,folha_datafolha_1994_05_24,Orestes Quércia,8,0,24,https://www1.folha.uol.com.br/fsp/1994/5/27/brasil/24.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-05-23,1994-05-24,1994-05-27,3912,folha_datafolha_1994_05_24,Leonel Brizola,7,0,24,https://www1.folha.uol.com.br/fsp/1994/5/27/brasil/24.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
1994,1,Datafolha,1994-05-23,1994-05-24,1994-05-27,3912,folha_datafolha_1994_05_24,Esperidião Amin,3,0,24,https://www1.folha.uol.com.br/fsp/1994/5/27/brasil/24.html,0,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Ibope,2006-08-29,2006-08-31,2006-09-02,2002,folha_ibope_2006_08_31,Lula,48,8,8,https://www1.folha.uol.com.br/fsp/brasil/fc0209200606.htm,0,secundaria_folha_ibope,estimulado_primeiro_turno
2006,1,Ibope,2006-08-29,2006-08-31,2006-09-02,2002,folha_ibope_2006_08_31,Geraldo Alckmin,25,8,8,https://www1.folha.uol.com.br/fsp/brasil/fc0209200606.htm,0,secundaria_folha_ibope,estimulado_primeiro_turno
2006,1,Ibope,2006-08-29,2006-08-31,2006-09-02,2002,folha_ibope_2006_08_31,Heloísa Helena,9,8,8,https://www1.folha.uol.com.br/fsp/brasil/fc0209200606.htm,0,secundaria_folha_ibope,estimulado_primeiro_turno
2006,1,Ibope,2006-08-29,2006-08-31,2006-09-02,2002,folha_ibope_2006_08_31,Cristovam Buarque,1,8,8,https://www1.folha.uol.com.br/fsp/brasil/fc0209200606.htm,0,secundaria_folha_ibope,estimulado_primeiro_turno
2006,1,Ibope,2006-08-29,2006-08-31,2006-09-02,2002,folha_ibope_2006_08_31,Rui Costa Pimenta,1,8,8,https://www1.folha.uol.com.br/fsp/brasil/fc0209200606.htm,0,secundaria_folha_ibope,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-04,2006-09-05,2006-09-06,1000,folha_datafolha_2006_09_05,Lula,51,4,6,https://www1.folha.uol.com.br/fsp/brasil/fc0609200602.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-04,2006-09-05,2006-09-06,1000,folha_datafolha_2006_09_05,Geraldo Alckmin,27,4,6,https://www1.folha.uol.com.br/fsp/brasil/fc0609200602.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-04,2006-09-05,2006-09-06,1000,folha_datafolha_2006_09_05,Heloísa Helena,9,4,6,https://www1.folha.uol.com.br/fsp/brasil/fc0609200602.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-04,2006-09-05,2006-09-06,1000,folha_datafolha_2006_09_05,Cristovam Buarque,1,4,6,https://www1.folha.uol.com.br/fsp/brasil/fc0609200602.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-04,2006-09-05,2006-09-06,1000,folha_datafolha_2006_09_05,Ana Maria Rangel,1,4,6,https://www1.folha.uol.com.br/fsp/brasil/fc0609200602.htm,1,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-18,2006-09-19,2006-09-20,7735,folha_datafolha_2006_09_19,Lula,50,4,6.7,https://www1.folha.uol.com.br/fsp/brasil/fc2009200641.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-18,2006-09-19,2006-09-20,7735,folha_datafolha_2006_09_19,Geraldo Alckmin,29,4,6.7,https://www1.folha.uol.com.br/fsp/brasil/fc2009200641.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-18,2006-09-19,2006-09-20,7735,folha_datafolha_2006_09_19,Heloísa Helena,9,4,6.7,https://www1.folha.uol.com.br/fsp/brasil/fc2009200641.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-18,2006-09-19,2006-09-20,7735,folha_datafolha_2006_09_19,Cristovam Buarque,2,4,6.7,https://www1.folha.uol.com.br/fsp/brasil/fc2009200641.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-27,2006-09-27,2006-09-28,7528,folha_datafolha_2006_09_27,Lula,49,0,7,https://www1.folha.uol.com.br/fsp/brasil/fc2809200602.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
2006,1,Datafolha,2006-09-27,2006-09-27,2006-09-28,7528,folha_datafolha_2006_09_27,Geraldo Alckmin,33,0,7,https://www1.folha.uol.com.br/fsp/brasil/fc2809200602.htm,0,secundaria_folha_datafolha,estimulado_primeiro_turno
