ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte,amostra_imputada,qualidade_fonte,cenario_tipo
1998,1,CNI/Ibope,1998-05-08,1998-05-13,1998-05-27,2000,cni_ibope_1998_05_13,Fernando Henrique Cardoso,37,15,11,https://www.folhadelondrina.com.br/politica/pesquisa-do-ibope-indica-possibilidade-de-2-turno-78284.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,CNI/Ibope,1998-05-08,1998-05-13,1998-05-27,2000,cni_ibope_1998_05_13,Lula,23,15,11,https://www.folhadelondrina.com.br/politica/pesquisa-do-ibope-indica-possibilidade-de-2-turno-78284.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,CNI/Ibope,1998-05-08,1998-05-13,1998-05-27,2000,cni_ibope_1998_05_13,Ciro Gomes,8,15,11,https://www.folhadelondrina.com.br/politica/pesquisa-do-ibope-indica-possibilidade-de-2-turno-78284.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,CNI/Ibope,1998-05-08,1998-05-13,1998-05-27,2000,cni_ibope_1998_05_13,Enéas Carneiro,7,15,11,https://www.folhadelondrina.com.br/politica/pesquisa-do-ibope-indica-possibilidade-de-2-turno-78284.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-05-30,1998-06-03,1998-06-05,2000,ibope_1998_06_03,Fernando Henrique Cardoso,33,14,12,https://www1.folha.uol.com.br/fol/pol/po0506981.htm,0,secundaria_uol_folha,estimulado_primeiro_turno
1998,1,Ibope,1998-05-30,1998-06-03,1998-06-05,2000,ibope_1998_06_03,Lula,28,14,12,https://www1.folha.uol.com.br/fol/pol/po0506981.htm,0,secundaria_uol_folha,estimulado_primeiro_turno
1998,1,Ibope,1998-05-30,1998-06-03,1998-06-05,2000,ibope_1998_06_03,Ciro Gomes,8,14,12,https://www1.folha.uol.com.br/fol/pol/po0506981.htm,0,secundaria_uol_folha,estimulado_primeiro_turno
1998,1,Ibope,1998-05-30,1998-06-03,1998-06-05,2000,ibope_1998_06_03,Enéas Carneiro,5,14,12,https://www1.folha.uol.com.br/fol/pol/po0506981.htm,0,secundaria_uol_folha,estimulado_primeiro_turno
1998,1,Ibope,1998-07-23,1998-07-28,1998-07-30,2000,ibope_1998_07_28,Fernando Henrique Cardoso,40,14,15,https://www.folhadelondrina.com.br/politica/fernando-henrique-cai-dois-pontos-na-pesquisa-do-ibope-89559.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-07-23,1998-07-28,1998-07-30,2000,ibope_1998_07_28,Lula,22,14,15,https://www.folhadelondrina.com.br/politica/fernando-henrique-cai-dois-pontos-na-pesquisa-do-ibope-89559.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-07-23,1998-07-28,1998-07-30,2000,ibope_1998_07_28,Ciro Gomes,6,14,15,https://www.folhadelondrina.com.br/politica/fernando-henrique-cai-dois-pontos-na-pesquisa-do-ibope-89559.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-07-23,1998-07-28,1998-07-30,2000,ibope_1998_07_28,Enéas Carneiro,3,14,15,https://www.folhadelondrina.com.br/politica/fernando-henrique-cai-dois-pontos-na-pesquisa-do-ibope-89559.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-09-09,1998-09-14,1998-09-16,3000,ibope_1998_09_14,Fernando Henrique Cardoso,49,19,0,https://www.folhadelondrina.com.br/politica/fhc-sobe-2-pontos-no-ibope-e-tem-49-lula-cai-para-22-98037.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-09-09,1998-09-14,1998-09-16,3000,ibope_1998_09_14,Lula,22,19,0,https://www.folhadelondrina.com.br/politica/fhc-sobe-2-pontos-no-ibope-e-tem-49-lula-cai-para-22-98037.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-09-09,1998-09-14,1998-09-16,3000,ibope_1998_09_14,Ciro Gomes,7,19,0,https://www.folhadelondrina.com.br/politica/fhc-sobe-2-pontos-no-ibope-e-tem-49-lula-cai-para-22-98037.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-09-09,1998-09-14,1998-09-16,3000,ibope_1998_09_14,Enéas Carneiro,2,19,0,https://www.folhadelondrina.com.br/politica/fhc-sobe-2-pontos-no-ibope-e-tem-49-lula-cai-para-22-98037.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
1998,1,Ibope,1998-09-09,1998-09-14,1998-09-16,3000,ibope_1998_09_14,Outros,1,19,0,https://www.folhadelondrina.com.br/politica/fhc-sobe-2-pontos-no-ibope-e-tem-49-lula-cai-para-22-98037.html,0,secundaria_folha_londrina,estimulado_primeiro_turno
