ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte,amostra_imputada,qualidade_fonte,cenario_tipo
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Lula,39,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Flávio Bolsonaro,35,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Augusto Cury,9,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Ronaldo Caiado,4,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Renan Santos,4,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Romeu Zema,1,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Samara Martins,1,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,BTG/Nexus,2026-09-04,2026-09-07,2026-09-08,2002,agosto_setembro_2026_sem_marcal,Rui Costa Pimenta,1,3,2,https://noticias.uol.com.br/eleicoes/2026/09/08/renan-santos-na-pesquisa-para-presidente-veja-numeros-mais-recentes.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,Quaest,2026-09-03,2026-09-06,2026-09-07,2004,agosto_setembro_2026_sem_marcal,Lula,36,8,10,https://noticias.uol.com.br/eleicoes/2026/09/07/quaest-presidencial-7-de-setembro.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
2026,1,Quaest,2026-09-03,2026-09-06,2026-09-07,2004,agosto_setembro_2026_sem_marcal,Flávio Bolsonaro,29,8,10,https://noticias.uol.com.br/eleicoes/2026/09/07/quaest-presidencial-7-de-setembro.ghtm,0,secundaria_uol_resumo,estimulado_primeiro_turno
