ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Lula,39.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Flávio Bolsonaro,35.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Augusto Cury,6.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Ronaldo Caiado,4.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Romeu Zema,2.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Lula,39.2,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Flávio Bolsonaro,33.6,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Augusto Cury,6.4,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Ronaldo Caiado,4.4,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Romeu Zema,0.7,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,PoderData,2026-09-06,2026-09-09,2026-09-09,3000,wikipedia_tabela_2,Lula,38.0,0,4.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,PoderData,2026-09-06,2026-09-09,2026-09-09,3000,wikipedia_tabela_2,Flávio Bolsonaro,36.0,0,4.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
