ano_eleicao,turno,instituto,data_texto_original,amostra_texto_original,cenario,candidato,percentual_total,brancos_nulos_indecisos_texto,fonte
2026,1,Datafolha,8–10 Sep 2026,2002,wikipedia_tabela_2,Lula,39.0,10,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,8–10 Sep 2026,2002,wikipedia_tabela_2,Flávio Bolsonaro,35.0,10,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,8–10 Sep 2026,2002,wikipedia_tabela_2,Augusto Cury,6.0,10,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,8–10 Sep 2026,2002,wikipedia_tabela_2,Ronaldo Caiado,4.0,10,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Datafolha,8–10 Sep 2026,2002,wikipedia_tabela_2,Romeu Zema,2.0,10,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,4–10 Sep 2026,2000,wikipedia_tabela_2,Lula,39.2,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,4–10 Sep 2026,2000,wikipedia_tabela_2,Flávio Bolsonaro,33.6,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,4–10 Sep 2026,2000,wikipedia_tabela_2,Augusto Cury,6.4,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,4–10 Sep 2026,2000,wikipedia_tabela_2,Ronaldo Caiado,4.4,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Futura,4–10 Sep 2026,2000,wikipedia_tabela_2,Romeu Zema,0.7,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,PoderData,6–9 Sep 2026,3000,wikipedia_tabela_2,Lula,38.0,4,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,PoderData,6–9 Sep 2026,3000,wikipedia_tabela_2,Flávio Bolsonaro,36.0,4,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,PoderData,6–9 Sep 2026,3000,wikipedia_tabela_2,Augusto Cury,10.0,4,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,PoderData,6–9 Sep 2026,3000,wikipedia_tabela_2,Ronaldo Caiado,2.0,4,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,PoderData,6–9 Sep 2026,3000,wikipedia_tabela_2,Romeu Zema,1.0,4,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,AtlasIntel,4–9 Sep 2026,5000,wikipedia_tabela_2,Lula,43.0,1,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,AtlasIntel,4–9 Sep 2026,5000,wikipedia_tabela_2,Flávio Bolsonaro,37.4,1,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,AtlasIntel,4–9 Sep 2026,5000,wikipedia_tabela_2,Augusto Cury,6.6,1,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,AtlasIntel,4–9 Sep 2026,5000,wikipedia_tabela_2,Ronaldo Caiado,1.1,1,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,AtlasIntel,4–9 Sep 2026,5000,wikipedia_tabela_2,Romeu Zema,2.1,1,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Palver,4–7 Sep 2026,5000,wikipedia_tabela_2,Lula,40.0,2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Palver,4–7 Sep 2026,5000,wikipedia_tabela_2,Flávio Bolsonaro,39.0,2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Palver,4–7 Sep 2026,5000,wikipedia_tabela_2,Augusto Cury,4.0,2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Palver,4–7 Sep 2026,5000,wikipedia_tabela_2,Ronaldo Caiado,1.0,2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Palver,4–7 Sep 2026,5000,wikipedia_tabela_2,Romeu Zema,1.0,2,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Ideia,4–7 Sep 2026,1500,wikipedia_tabela_2,Lula,38.4,5.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Ideia,4–7 Sep 2026,1500,wikipedia_tabela_2,Flávio Bolsonaro,37.3,5.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
2026,1,Ideia,4–7 Sep 2026,1500,wikipedia_tabela_2,Augusto Cury,6.6,5.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election
