ano_eleicao,candidato,percentual_validos,fonte
1994,Fernando Henrique Cardoso,54.28,Lista de eleicoes presidenciais no Brasil / TSE
1994,Lula,27.04,Lista de eleicoes presidenciais no Brasil / TSE
1994,Enéas Carneiro,7.38,Lista de eleicoes presidenciais no Brasil / TSE
1994,Orestes Quércia,4.38,Lista de eleicoes presidenciais no Brasil / TSE
1994,Leonel Brizola,3.18,Lista de eleicoes presidenciais no Brasil / TSE
1994,Esperidião Amin,2.75,Lista de eleicoes presidenciais no Brasil / TSE
1998,Fernando Henrique Cardoso,53.06,Lista de eleicoes presidenciais no Brasil / TSE
1998,Lula,31.71,Lista de eleicoes presidenciais no Brasil / TSE
1998,Ciro Gomes,10.97,Lista de eleicoes presidenciais no Brasil / TSE
1998,Enéas Carneiro,2.14,Lista de eleicoes presidenciais no Brasil / TSE
2002,Lula,46.44,Lista de eleicoes presidenciais no Brasil / TSE
2002,José Serra,23.19,Lista de eleicoes presidenciais no Brasil / TSE
2002,Anthony Garotinho,17.86,Lista de eleicoes presidenciais no Brasil / TSE
2002,Ciro Gomes,11.97,Lista de eleicoes presidenciais no Brasil / TSE
2006,Lula,48.61,Lista de eleicoes presidenciais no Brasil / TSE
2006,Geraldo Alckmin,41.64,Lista de eleicoes presidenciais no Brasil / TSE
2006,Heloísa Helena,6.85,Lista de eleicoes presidenciais no Brasil / TSE
2006,Cristovam Buarque,2.64,Lista de eleicoes presidenciais no Brasil / TSE
2010,Dilma Rousseff,46.91,Lista de eleicoes presidenciais no Brasil / TSE
2010,José Serra,32.61,Lista de eleicoes presidenciais no Brasil / TSE
2010,Marina Silva,19.33,Lista de eleicoes presidenciais no Brasil / TSE
2010,Plínio de Arruda Sampaio,0.87,Lista de eleicoes presidenciais no Brasil / TSE
2014,Dilma Rousseff,41.59,Lista de eleicoes presidenciais no Brasil / TSE
2014,Aécio Neves,33.55,Lista de eleicoes presidenciais no Brasil / TSE
2014,Marina Silva,21.32,Lista de eleicoes presidenciais no Brasil / TSE
2014,Luciana Genro,1.55,Lista de eleicoes presidenciais no Brasil / TSE
2014,Pastor Everaldo,0.75,Lista de eleicoes presidenciais no Brasil / TSE
2014,Eduardo Jorge,0.61,Lista de eleicoes presidenciais no Brasil / TSE
2018,Jair Bolsonaro,46.03,Lista de eleicoes presidenciais no Brasil / TSE
2018,Fernando Haddad,29.28,Lista de eleicoes presidenciais no Brasil / TSE
2018,Ciro Gomes,12.47,Lista de eleicoes presidenciais no Brasil / TSE
2018,Geraldo Alckmin,4.76,Lista de eleicoes presidenciais no Brasil / TSE
2018,João Amoêdo,2.50,Lista de eleicoes presidenciais no Brasil / TSE
2018,Cabo Daciolo,1.26,Lista de eleicoes presidenciais no Brasil / TSE
2018,Henrique Meirelles,1.20,Lista de eleicoes presidenciais no Brasil / TSE
2018,Marina Silva,1.00,Lista de eleicoes presidenciais no Brasil / TSE
2022,Lula,48.43,Lista de eleicoes presidenciais no Brasil / TSE
2022,Jair Bolsonaro,43.20,Lista de eleicoes presidenciais no Brasil / TSE
2022,Simone Tebet,4.16,Lista de eleicoes presidenciais no Brasil / TSE
2022,Ciro Gomes,3.04,Lista de eleicoes presidenciais no Brasil / TSE
2022,Soraya Thronicke,0.51,Lista de eleicoes presidenciais no Brasil / TSE
2022,Felipe d'Avila,0.47,Lista de eleicoes presidenciais no Brasil / TSE
